date,S,I,R,D
23-01-2020,83000000,0,0,0
24-01-2020,83000000,0,0,0
25-01-2020,83000000,0,0,0
26-01-2020,83000000,0,0,0
27-01-2020,82999999,0,1,0
28-01-2020,82999996,3,1,0
29-01-2020,82999996,3,1,0
30-01-2020,82999996,4,0,0
31-01-2020,82999995,5,0,0
01-02-2020,82999992,8,0,0
02-02-2020,82999990,10,0,0
03-02-2020,82999988,12,0,0
04-02-2020,82999988,12,0,0
05-02-2020,82999988,12,0,0
06-02-2020,82999988,12,0,0
07-02-2020,82999987,13,0,0
08-02-2020,82999987,13,0,0
09-02-2020,82999986,14,0,0
10-02-2020,82999986,14,0,0
11-02-2020,82999984,16,0,0
12-02-2020,82999984,16,0,0
13-02-2020,82999984,15,1,0
14-02-2020,82999984,15,1,0
15-02-2020,82999984,15,1,0
16-02-2020,82999984,15,1,0
17-02-2020,82999984,15,1,0
18-02-2020,82999984,4,12,0
19-02-2020,82999984,4,12,0
20-02-2020,82999984,4,12,0
21-02-2020,82999984,2,14,0
22-02-2020,82999984,2,14,0
23-02-2020,82999984,2,14,0
24-02-2020,82999984,2,14,0
25-02-2020,82999984,2,14,0
26-02-2020,82999979,6,15,0
27-02-2020,82999974,10,16,0
28-02-2020,82999947,37,16,0
29-02-2020,82999934,50,16,0
01-03-2020,82999883,101,16,0
02-03-2020,82999850,134,16,0
03-03-2020,82999812,172,16,0
04-03-2020,82999760,224,16,0
05-03-2020,82999651,333,16,0
06-03-2020,82999466,517,17,0
07-03-2020,82999316,666,18,0
08-03-2020,82999153,829,18,0
09-03-2020,82998888,1092,18,2
10-03-2020,82998704,1276,18,2
11-03-2020,82998433,1539,25,3
12-03-2020,82997631,2341,25,3
13-03-2020,82996938,3009,46,7
14-03-2020,82996205,3740,46,9
15-03-2020,82995162,4781,46,11
16-03-2020,82993988,5928,67,17
17-03-2020,82992844,7065,67,24
18-03-2020,82991802,8065,105,28
19-03-2020,82989001,10842,113,44
20-03-2020,82986043,13710,180,67
21-03-2020,82983338,16345,233,84
22-03-2020,82981390,18250,266,94
23-03-2020,82977328,22283,266,123
24-03-2020,82972564,24036,3243,157
25-03-2020,82968446,27801,3547,206
26-03-2020,82963492,30568,5673,267
27-03-2020,82957712,35288,6658,342
28-03-2020,82951418,39668,8481,433
29-03-2020,82947453,42803,9211,533
30-03-2020,82942702,43153,13500,645
31-03-2020,82938087,45038,16100,775
01-04-2020,82932634,47746,18700,920
02-04-2020,82926478,49975,22440,1107
03-04-2020,82920304,53846,24575,1275
04-04-2020,82914222,57934,26400,1444
05-04-2020,82908286,61430,28700,1584
06-04-2020,82904609,64881,28700,1810
07-04-2020,82900775,61128,36081,2016
08-04-2020,82896772,54579,46300,2349
09-04-2020,82891798,53188,52407,2607
10-04-2020,82886475,56845,53913,2767
11-04-2020,82882342,57522,57400,2736
12-04-2020,82879521,57157,60300,3022
13-04-2020,82876984,55522,64300,3194
14-04-2020,82874902,53604,68200,3294
15-04-2020,82872416,51180,72600,3804
16-04-2020,82869550,49398,77000,4052
17-04-2020,82866170,46364,83114,4352
18-04-2020,82862561,47580,85400,4459
19-04-2020,82860103,47311,88000,4586
20-04-2020,82858328,45310,91500,4862
21-04-2020,82856543,43224,95200,5033
22-04-2020,82854306,41015,99400,5279
23-04-2020,82851954,39171,103300,5575
24-04-2020,82849617,34823,109800,5760
25-04-2020,82847562,36761,109800,5877
26-04-2020,82845825,36199,112000,5976
27-04-2020,82844807,34567,114500,6126
28-04-2020,82843663,32623,117400,6314
29-04-2020,82842359,30774,120400,6467
30-04-2020,82840881,28996,123500,6623
01-05-2020,82839242,27122,126900,6736
02-05-2020,82838297,25891,129000,6812
03-05-2020,82837504,25030,130600,6866
04-05-2020,82836825,23482,132700,6993
05-05-2020,82836140,21767,135100,6993
06-05-2020,82835193,17632,139900,7275
07-05-2020,82833909,16999,141700,7392
08-05-2020,82832700,18090,141700,7510
09-05-2020,82831449,17702,143300,7549
10-05-2020,82830782,17249,144400,7569
11-05-2020,82830425,16297,145617,7661
12-05-2020,82829492,15570,147200,7738
13-05-2020,82828694,14745,148700,7861
14-05-2020,82827761,14055,150300,7884
15-05-2020,82826848,13658,151597,7897
16-05-2020,82826228,13234,152600,7938
17-05-2020,82825645,12382,154011,7962
18-05-2020,82825303,11653,155041,8003
19-05-2020,82824790,11448,155681,8081
20-05-2020,82823993,10897,156966,8144
21-05-2020,82823248,10462,158087,8203
22-05-2020,82822788,9920,159064,8228
23-05-2020,82822150,9873,159716,8261
24-05-2020,82821719,9717,160281,8283
25-05-2020,82821430,9062,161199,8309
26-05-2020,82820998,8663,161967,8372
27-05-2020,82820636,8116,162820,8428
28-05-2020,82820283,7887,163360,8470
29-05-2020,82819542,7709,164245,8504
30-05-2020,82818804,7758,164908,8530
31-05-2020,82818518,7590,165352,8540
01-06-2020,82818185,7628,165632,8555
02-06-2020,82817972,6856,166609,8563
03-06-2020,82817630,6315,167453,8602
04-06-2020,82817236,6220,167909,8635
05-06-2020,82816729,6133,168480,8658
06-06-2020,82816322,6047,168958,8673
07-06-2020,82816021,6070,169224,8685
08-06-2020,82815807,5942,169556,8695
09-06-2020,82815457,5678,170129,8736
10-06-2020,82815139,5479,170630,8752
11-06-2020,82814584,5683,170961,8772
12-06-2020,82814326,5356,171535,8783
13-06-2020,82813978,5259,171970,8793
14-06-2020,82813731,5379,172089,8801
15-06-2020,82813539,4962,172692,8807
16-06-2020,82813161,5177,172842,8820
17-06-2020,82812816,4734,173599,8851
18-06-2020,82812236,5042,173847,8875
19-06-2020,82811466,5675,173972,8887
20-06-2020,82810865,5631,174609,8895
21-06-2020,82810178,6187,174740,8895
22-06-2020,82809641,6317,175143,8899
23-06-2020,82809138,6123,175825,8914
24-06-2020,82808551,6099,176422,8928
25-06-2020,82807921,6375,176764,8940
26-06-2020,82807444,6442,177149,8965
27-06-2020,82806757,6757,177518,8968
28-06-2020,82806501,6874,177657,8968
29-06-2020,82806239,7015,177770,8976
30-06-2020,82805741,7169,178100,8990
01-07-2020,82805275,6630,179100,8995
02-07-2020,82804772,6422,179800,9006
03-07-2020,82804326,6364,180300,9010
04-07-2020,82803904,6076,181000,9020
05-07-2020,82803665,5593,181719,9023
06-07-2020,82803446,5372,182160,9022
07-07-2020,82803056,5251,182661,9032
08-07-2020,82802659,5142,183153,9046
09-07-2020,82802217,4998,183728,9057
10-07-2020,82801822,5087,184028,9063
11-07-2020,82801444,5220,184266,9070
12-07-2020,82801196,5319,184414,9071
13-07-2020,82801037,4789,185100,9074
