date,dI
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,1.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,2.0
2020-02-07,2.0
2020-02-08,1.0
2020-02-09,1.0
2020-02-10,1.0
2020-02-11,1.0
2020-02-12,1.0
2020-02-13,1.0
2020-02-14,1.0
2020-02-15,1.0
2020-02-16,1.0
2020-02-17,1.0
2020-02-18,1.0
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,1.0
2020-02-22,1.0
2020-02-23,1.0
2020-02-24,1.0
2020-02-25,1.0
2020-02-26,1.0
2020-02-27,2.0
2020-02-28,5.0
2020-02-29,12.0
2020-03-01,15.0
2020-03-02,20.0
2020-03-03,26.0
2020-03-04,37.0
2020-03-05,59.0
2020-03-06,82.0
2020-03-07,102.0
2020-03-08,119.0
2020-03-09,129.0
2020-03-10,172.0
2020-03-11,245.0
2020-03-12,331.0
2020-03-13,446.0
2020-03-14,628.0
2020-03-15,794.0
2020-03-16,919.0
2020-03-17,1160.0
2020-03-18,1508.0
2020-03-19,1914.0
2020-03-20,2352.0
2020-03-21,2722.0
2020-03-22,3015.0
2020-03-23,3198.0
2020-03-24,3440.0
2020-03-25,3705.0
2020-03-26,4001.0
2020-03-27,4265.0
2020-03-28,4540.0
2020-03-29,4735.0
2020-03-30,4851.0
2020-03-31,4907.0
2020-04-01,5075.0
2020-04-02,5158.0
2020-04-03,5251.0
2020-04-04,5282.0
2020-04-05,5228.0
2020-04-06,5150.0
2020-04-07,5085.0
2020-04-08,4960.0
2020-04-09,4820.0
2020-04-10,4585.0
2020-04-11,4180.0
2020-04-12,3972.0
2020-04-13,3876.0
2020-04-14,3582.0
2020-04-15,3194.0
2020-04-16,2915.0
2020-04-17,2703.0
2020-04-18,2658.0
2020-04-19,2547.0
2020-04-20,2477.0
2020-04-21,2494.0
2020-04-22,2453.0
2020-04-23,2333.0
2020-04-24,2143.0
2020-04-25,1980.0
2020-04-26,1860.0
2020-04-27,1764.0
2020-04-28,1679.0
2020-04-29,1576.0
2020-04-30,1425.0
2020-05-01,1336.0
2020-05-02,1195.0
2020-05-03,1102.0
2020-05-04,1062.0
2020-05-05,1006.0
2020-05-06,953.0
2020-05-07,923.0
2020-05-08,885.0
2020-05-09,894.0
2020-05-10,902.0
2020-05-11,890.0
2020-05-12,884.0
2020-05-13,850.0
2020-05-14,806.0
2020-05-15,750.0
2020-05-16,714.0
2020-05-17,683.0
2020-05-18,680.0
2020-05-19,660.0
2020-05-20,642.0
2020-05-21,631.0
2020-05-22,575.0
2020-05-23,546.0
2020-05-24,529.0
2020-05-25,515.0
2020-05-26,496.0
2020-05-27,480.0
2020-05-28,454.0
2020-05-29,470.0
2020-05-30,459.0
2020-05-31,464.0
2020-06-01,458.0
2020-06-02,419.0
2020-06-03,374.0
2020-06-04,352.0
2020-06-05,352.0
2020-06-06,351.0
2020-06-07,338.0
2020-06-08,336.0
2020-06-09,359.0
2020-06-10,376.0
2020-06-11,379.0
2020-06-12,344.0
2020-06-13,332.0
2020-06-14,334.0
2020-06-15,335.0
2020-06-16,330.0
2020-06-17,343.0
2020-06-18,392.0
2020-06-19,461.0
2020-06-20,552.0
2020-06-21,591.0
2020-06-22,598.0
2020-06-23,624.0
2020-06-24,628.0
2020-06-25,577.0
2020-06-26,549.0
2020-06-27,490.0
2020-06-28,455.0
2020-06-29,452.0
2020-06-30,448.0
2020-07-01,436.0
2020-07-02,432.0
2020-07-03,418.0
2020-07-04,397.0
2020-07-05,393.0
2020-07-06,385.0
2020-07-07,372.0
2020-07-08,362.0
2020-07-09,357.0
2020-07-10,351.0
2020-07-11,350.0
2020-07-12,348.0
2020-07-13,346.0
2020-07-14,347.0
2020-07-15,358.0
2020-07-16,371.0
2020-07-17,390.0
2020-07-18,404.0
2020-07-19,427.0
2020-07-20,434.0
2020-07-21,452.0
2020-07-22,460.0
2020-07-23,483.0
2020-07-24,503.0
2020-07-25,544.0
2020-07-26,558.0
2020-07-27,562.0
2020-07-28,573.0
2020-07-29,606.0
2020-07-30,636.0
2020-07-31,661.0
2020-08-01,675.0
2020-08-02,678.0
2020-08-03,691.0
2020-08-04,730.0
2020-08-05,758.0
2020-08-06,786.0
2020-08-07,830.0
2020-08-08,843.0
2020-08-09,865.0
2020-08-10,867.0
2020-08-11,910.0
2020-08-12,945.0
