,date,dI
1,2020-01-04,1
2,2020-01-05,0
3,2020-01-06,0
4,2020-01-07,0
5,2020-01-08,0
6,2020-01-09,0
7,2020-01-10,0
8,2020-01-11,0
9,2020-01-12,0
10,2020-01-13,0
11,2020-01-14,0
12,2020-01-15,0
13,2020-01-16,0
14,2020-01-17,0
15,2020-01-18,0
16,2020-01-19,0
17,2020-01-20,0
18,2020-01-21,0
19,2020-01-22,0
20,2020-01-23,0
21,2020-01-24,1
22,2020-01-25,0
23,2020-01-26,0
24,2020-01-27,0
25,2020-01-28,0
26,2020-01-29,2
27,2020-01-30,2
28,2020-01-31,0
29,2020-02-01,5
30,2020-02-02,1
31,2020-02-03,0
32,2020-02-04,1
33,2020-02-05,4
34,2020-02-06,2
35,2020-02-07,1
36,2020-02-08,1
37,2020-02-09,0
38,2020-02-10,0
39,2020-02-11,1
40,2020-02-12,3
41,2020-02-13,1
42,2020-02-14,0
43,2020-02-15,0
44,2020-02-16,1
45,2020-02-17,0
46,2020-02-18,2
47,2020-02-19,1
48,2020-02-20,0
49,2020-02-21,2
50,2020-02-22,0
51,2020-02-23,0
52,2020-02-24,0
53,2020-02-25,1
54,2020-02-26,3
55,2020-02-27,7
56,2020-02-28,24
57,2020-02-29,47
58,2020-03-01,23
59,2020-03-02,35
60,2020-03-03,42
61,2020-03-04,84
62,2020-03-05,157
63,2020-03-06,186
64,2020-03-07,187
65,2020-03-08,142
66,2020-03-09,103
67,2020-03-10,347
68,2020-03-11,595
69,2020-03-12,756
70,2020-03-13,991
71,2020-03-14,1461
72,2020-03-15,1302
73,2020-03-16,980
74,2020-03-17,2038
75,2020-03-18,3025
76,2020-03-19,3601
77,2020-03-20,4056
78,2020-03-21,4051
79,2020-03-22,3354
80,2020-03-23,2262
81,2020-03-24,3730
82,2020-03-25,4879
83,2020-03-26,5677
84,2020-03-27,5900
85,2020-03-28,5975
86,2020-03-29,4722
87,2020-03-30,3075
88,2020-03-31,4118
89,2020-04-01,6060
90,2020-04-02,6257
91,2020-04-03,6550
92,2020-04-04,6190
93,2020-04-05,4343
94,2020-04-06,2535
95,2020-04-07,3657
96,2020-04-08,5187
97,2020-04-09,5276
98,2020-04-10,4904
99,2020-04-11,3357
100,2020-04-12,2886
101,2020-04-13,1866
102,2020-04-14,1597
103,2020-04-15,2469
104,2020-04-16,3326
105,2020-04-17,3418
106,2020-04-18,3044
107,2020-04-19,2108
108,2020-04-20,1377
109,2020-04-21,1713
110,2020-04-22,2182
111,2020-04-23,2487
112,2020-04-24,2088
113,2020-04-25,1905
114,2020-04-26,1271
115,2020-04-27,704
116,2020-04-28,1117
117,2020-04-29,1462
118,2020-04-30,1431
119,2020-05-01,1460
120,2020-05-02,919
121,2020-05-03,620
122,2020-05-04,425
123,2020-05-05,728
124,2020-05-06,1089
125,2020-05-07,1220
126,2020-05-08,1197
127,2020-05-09,978
128,2020-05-10,677
129,2020-05-11,341
130,2020-05-12,684
131,2020-05-13,853
132,2020-05-14,909
133,2020-05-15,808
134,2020-05-16,728
135,2020-05-17,461
136,2020-05-18,316
137,2020-05-19,544
138,2020-05-20,729
139,2020-05-21,830
140,2020-05-22,419
141,2020-05-23,525
142,2020-05-24,337
143,2020-05-25,218
144,2020-05-26,412
145,2020-05-27,618
146,2020-05-28,651
147,2020-05-29,530
148,2020-05-30,445
149,2020-05-31,373
150,2020-06-01,178
151,2020-06-02,136
152,2020-06-03,306
153,2020-06-04,497
154,2020-06-05,527
155,2020-06-06,437
156,2020-06-07,285
157,2020-06-08,164
158,2020-06-09,296
159,2020-06-10,426
160,2020-06-11,518
161,2020-06-12,281
162,2020-06-13,352
163,2020-06-14,299
164,2020-06-15,172
165,2020-06-16,259
166,2020-06-17,519
167,2020-06-18,864
168,2020-06-19,763
169,2020-06-20,990
170,2020-06-21,568
171,2020-06-22,222
172,2020-06-23,444
173,2020-06-24,545
174,2020-06-25,506
175,2020-06-26,571
176,2020-06-27,574
177,2020-06-28,324
178,2020-06-29,201
179,2020-06-30,415
180,2020-07-01,458
181,2020-07-02,483
182,2020-07-03,472
183,2020-07-04,427
184,2020-07-05,294
185,2020-07-06,144
186,2020-07-07,323
187,2020-07-08,392
188,2020-07-09,450
189,2020-07-10,424
190,2020-07-11,425
191,2020-07-12,277
192,2020-07-13,131
193,2020-07-14,329
194,2020-07-15,468
195,2020-07-16,541
196,2020-07-17,556
197,2020-07-18,524
198,2020-07-19,443
199,2020-07-20,179
200,2020-07-21,456
201,2020-07-22,524
202,2020-07-23,699
203,2020-07-24,694
204,2020-07-25,810
205,2020-07-26,543
206,2020-07-27,211
207,2020-07-28,529
208,2020-07-29,756
209,2020-07-30,911
210,2020-07-31,864
211,2020-08-01,914
212,2020-08-02,561
213,2020-08-03,305
214,2020-08-04,799
215,2020-08-05,950
216,2020-08-06,1112
217,2020-08-07,1170
218,2020-08-08,1006
219,2020-08-09,710
220,2020-08-10,321
221,2020-08-11,1104
222,2020-08-12,1193
223,2020-08-13,1541
224,2020-08-14,1491
225,2020-08-15,1376
226,2020-08-16,756
227,2020-08-17,494
228,2020-08-18,1549
229,2020-08-19,1533
230,2020-08-20,1754
231,2020-08-21,1620
232,2020-08-22,1656
233,2020-08-23,919
234,2020-08-24,565
235,2020-08-25,1426
236,2020-08-26,1486
237,2020-08-27,1618
238,2020-08-28,1542
239,2020-08-29,1391
240,2020-08-30,833
241,2020-08-31,537
242,2020-09-01,1185
243,2020-09-02,1322
244,2020-09-03,1411
245,2020-09-04,1517
246,2020-09-05,1494
247,2020-09-06,1105
248,2020-09-07,581
249,2020-09-08,1414
250,2020-09-09,1376
251,2020-09-10,1747
252,2020-09-11,1590
253,2020-09-12,1650
254,2020-09-13,1223
255,2020-09-14,762
256,2020-09-15,1486
257,2020-09-16,2003
258,2020-09-17,2194
259,2020-09-18,2357
260,2020-09-19,2169
261,2020-09-20,1392
262,2020-09-21,690
263,2020-09-22,1656
264,2020-09-23,1816
265,2020-09-24,2212
266,2020-09-25,2392
267,2020-09-26,2334
268,2020-09-27,1787
269,2020-09-28,873
270,2020-09-29,1831
271,2020-09-30,2165
272,2020-10-01,2737
273,2020-10-02,2926
274,2020-10-03,2922
275,2020-10-04,2197
276,2020-10-05,1155
277,2020-10-06,2413
278,2020-10-07,3589
279,2020-10-08,4493
280,2020-10-09,4667
281,2020-10-10,5059
282,2020-10-11,3630
283,2020-10-12,2273
284,2020-10-13,4190
285,2020-10-14,5367
286,2020-10-15,7249
287,2020-10-16,7905
288,2020-10-17,7975
289,2020-10-18,5689
290,2020-10-19,3680
291,2020-10-20,6488
292,2020-10-21,9451
293,2020-10-22,12411
294,2020-10-23,13931
295,2020-10-24,14037
296,2020-10-25,11098
297,2020-10-26,7453
298,2020-10-27,12021
299,2020-10-28,15945
300,2020-10-29,19247
301,2020-10-30,19847
302,2020-10-31,19405
303,2020-11-01,14002
304,2020-11-02,10525
305,2020-11-03,15251
306,2020-11-04,19342
307,2020-11-05,21203
308,2020-11-06,22277
309,2020-11-07,21580
310,2020-11-08,15926
311,2020-11-09,10139
312,2020-11-10,15983
313,2020-11-11,19610
314,2020-11-12,22707
315,2020-11-13,23506
316,2020-11-14,21365
317,2020-11-15,15794
318,2020-11-16,8851
319,2020-11-17,14693
320,2020-11-18,20352
321,2020-11-19,23693
322,2020-11-20,23760
323,2020-11-21,22292
324,2020-11-22,14773
325,2020-11-23,8828
326,2020-11-24,15075
327,2020-11-25,19407
328,2020-11-26,22047
329,2020-11-27,22757
330,2020-11-28,20136
331,2020-11-29,14939
332,2020-11-30,8784
333,2020-12-01,13297
334,2020-12-02,19219
335,2020-12-03,23202
336,2020-12-04,24429
337,2020-12-05,22258
338,2020-12-06,15726
339,2020-12-07,10237
340,2020-12-08,16459
341,2020-12-09,22798
342,2020-12-10,27644
343,2020-12-11,29042
344,2020-12-12,27256
345,2020-12-13,20604
346,2020-12-14,12502
347,2020-12-15,19074
348,2020-12-16,26931
349,2020-12-17,31363
350,2020-12-18,31958
351,2020-12-19,29767
352,2020-12-20,21700
353,2020-12-21,13898
354,2020-12-22,20299
355,2020-12-23,28984
356,2020-12-24,33974
357,2020-12-25,21158
358,2020-12-26,13161
359,2020-12-27,11542
360,2020-12-28,9807
361,2020-12-29,15739
362,2020-12-30,27572
363,2020-12-31,31056
364,2021-01-01,19589
365,2021-01-02,10274
366,2021-01-03,10018
367,2021-01-04,8836
368,2021-01-05,14309
369,2021-01-06,27441
370,2021-01-07,27964
371,2021-01-08,26109
372,2021-01-09,24539
373,2021-01-10,16661
374,2021-01-11,8475
375,2021-01-12,13489
376,2021-01-13,22587
377,2021-01-14,24103
378,2021-01-15,20407
379,2021-01-16,18302
380,2021-01-17,13432
381,2021-01-18,6594
382,2021-01-19,9166
383,2021-01-20,18464
384,2021-01-21,19489
385,2021-01-22,16808
386,2021-01-23,15029
387,2021-01-24,11570
388,2021-01-25,5024
389,2021-01-26,6753
390,2021-01-27,15512
391,2021-01-28,15818
392,2021-01-29,13368
393,2021-01-30,12578
394,2021-01-31,9940
395,2021-02-01,4207
396,2021-02-02,5864
397,2021-02-03,12302
398,2021-02-04,13426
399,2021-02-05,11504
400,2021-02-06,10011
401,2021-02-07,8391
402,2021-02-08,3089
403,2021-02-09,4188
404,2021-02-10,9096
405,2021-02-11,10279
406,2021-02-12,9358
407,2021-02-13,8539
408,2021-02-14,5597
409,2021-02-15,3761
410,2021-02-16,4394
411,2021-02-17,9248
412,2021-02-18,10007
413,2021-02-19,9237
414,2021-02-20,8728
415,2021-02-21,7778
416,2021-02-22,3044
417,2021-02-23,4406
418,2021-02-24,10184
419,2021-02-25,11303
420,2021-02-26,9926
421,2021-02-27,9456
422,2021-02-28,7663
423,2021-03-01,3452
424,2021-03-02,4689
425,2021-03-03,10967
426,2021-03-04,11318
427,2021-03-05,10133
428,2021-03-06,9662
429,2021-03-07,8300
