date,S,I,R,D
09-03-2020,37999994.14285714,5.857142857142857,0.0,0.0
10-03-2020,37999991.0,9.0,0.0,0.0
11-03-2020,37999986.71428572,13.285714285714286,0.0,0.0
12-03-2020,37999979.571428575,20.285714285714285,0.0,0.14285714285714285
13-03-2020,37999970.571428575,29.0,0.0,0.42857142857142855
14-03-2020,37999956.571428575,42.57142857142857,0.0,0.8571428571428571
15-03-2020,37999940.28571428,58.42857142857143,0.0,1.2857142857142858
16-03-2020,37999917.428571425,80.71428571428571,0.0,1.8571428571428572
17-03-2020,37999886.571428575,110.71428571428571,0.14285714285714285,2.5714285714285716
18-03-2020,37999850.0,146.42857142857142,0.2857142857142857,3.2857142857142856
19-03-2020,37999806.571428575,189.14285714285714,0.42857142857142855,3.857142857142857
20-03-2020,37999755.571428575,239.57142857142858,0.5714285714285714,4.285714285714286
21-03-2020,37999693.85714286,300.85714285714283,0.7142857142857143,4.571428571428571
22-03-2020,37999621.14285714,372.85714285714283,0.8571428571428571,5.142857142857143
23-03-2020,37999539.428571425,453.85714285714283,1.0,5.714285714285714
24-03-2020,37999444.71428572,547.8571428571429,1.0,6.428571428571429
25-03-2020,37999335.571428575,655.8571428571429,1.0,7.571428571428571
26-03-2020,37999211.85714286,778.0,1.0,9.142857142857142
27-03-2020,37999074.14285714,914.1428571428571,1.0,10.714285714285714
28-03-2020,37998916.71428572,1069.7142857142858,1.0,12.571428571428571
29-03-2020,37998741.28571428,1243.0,1.0,14.714285714285714
30-03-2020,37998554.71428572,1426.2857142857142,1.0,18.0
31-03-2020,37998353.28571428,1624.4285714285713,1.0,21.285714285714285
01-04-2020,37998138.571428575,1834.857142857143,1.0,25.571428571428573
02-04-2020,37997892.14285714,2075.4285714285716,1.0,31.428571428571427
03-04-2020,37997607.28571428,2352.4285714285716,1.0,39.285714285714285
04-04-2020,37997323.14285714,2611.4285714285716,17.428571428571427,48.0
05-04-2020,37997003.14285714,2902.1428571428573,36.42857142857143,58.285714285714285
06-04-2020,37996666.28571428,3205.1428571428573,59.42857142857143,69.14285714285714
07-04-2020,37996303.85714286,3526.714285714286,86.57142857142857,82.85714285714286
08-04-2020,37995925.14285714,3857.4285714285716,118.14285714285714,99.28571428571429
09-04-2020,37995549.571428575,4175.857142857143,158.57142857142858,116.0
10-04-2020,37995182.14285714,4482.285714285715,203.85714285714286,131.71428571428572
11-04-2020,37994792.28571428,4816.714285714285,240.85714285714286,150.14285714285714
12-04-2020,37994424.85714286,5120.857142857143,284.42857142857144,169.85714285714286
13-04-2020,37994065.0,5414.571428571428,330.85714285714283,189.57142857142858
14-04-2020,37993728.71428572,5670.714285714285,391.85714285714283,208.71428571428572
15-04-2020,37993389.14285714,5928.285714285715,455.57142857142856,227.0
16-04-2020,37993054.428571425,6173.0,525.5714285714286,247.0
17-04-2020,37992708.71428572,6418.857142857143,603.8571428571429,268.57142857142856
18-04-2020,37992372.571428575,6648.571428571428,690.4285714285714,288.42857142857144
19-04-2020,37992008.28571428,6908.714285714285,776.2857142857143,306.7142857142857
20-04-2020,37991637.14285714,7168.285714285715,868.5714285714286,326.0
21-04-2020,37991267.0,7421.857142857143,965.5714285714286,345.57142857142856
22-04-2020,37990906.428571425,7641.857142857143,1086.2857142857142,365.42857142857144
23-04-2020,37990545.0,7845.428571428572,1224.2857142857142,385.2857142857143
24-04-2020,37990194.428571425,8019.0,1378.2857142857142,408.2857142857143
25-04-2020,37989837.14285714,8187.571428571428,1541.857142857143,433.42857142857144
26-04-2020,37989504.28571428,8320.42857142857,1716.857142857143,458.42857142857144
27-04-2020,37989174.428571425,8434.0,1907.2857142857142,484.2857142857143
28-04-2020,37988837.0,8549.57142857143,2101.285714285714,512.1428571428571
29-04-2020,37988484.0,8658.285714285714,2317.285714285714,540.4285714285714
30-04-2020,37988137.0,8764.42857142857,2531.0,567.5714285714286
01-05-2020,37987811.85714286,8846.142857142857,2752.0,590.0
