date,S,I,R,D
03-03-2020,38000000,0,0,0
04-03-2020,37999999,1,0,0
05-03-2020,37999999,1,0,0
06-03-2020,37999995,5,0,0
07-03-2020,37999994,6,0,0
08-03-2020,37999989,11,0,0
09-03-2020,37999983,17,0,0
10-03-2020,37999978,22,0,0
11-03-2020,37999969,31,0,0
12-03-2020,37999949,50,0,1
13-03-2020,37999932,66,0,2
14-03-2020,37999896,101,0,3
15-03-2020,37999875,122,0,3
16-03-2020,37999823,173,0,4
17-03-2020,37999762,232,1,5
18-03-2020,37999713,281,1,5
19-03-2020,37999645,349,1,5
20-03-2020,37999575,419,1,5
21-03-2020,37999464,530,1,5
22-03-2020,37999366,626,1,7
23-03-2020,37999251,740,1,8
24-03-2020,37999099,890,1,10
25-03-2020,37998949,1037,1,13
26-03-2020,37998779,1204,1,16
27-03-2020,37998611,1372,1,16
28-03-2020,37998362,1619,1,18
29-03-2020,37998138,1839,1,22
30-03-2020,37997945,2023,1,31
31-03-2020,37997689,2277,1,33
01-04-2020,37997446,2510,1,43
02-04-2020,37997054,2888,1,57
03-04-2020,37996617,3311,1,71
04-04-2020,37996373,3432,116,79
05-04-2020,37995898,3874,134,94
06-04-2020,37995587,4144,162,107
07-04-2020,37995152,4528,191,129
08-04-2020,37994795,4825,222,158
09-04-2020,37994425,5117,284,174
10-04-2020,37994045,5456,318,181
11-04-2020,37993644,5773,375,208
12-04-2020,37993326,6003,439,232
13-04-2020,37993068,6200,487,245
14-04-2020,37992798,6321,618,263
15-04-2020,37992418,6628,668,286
16-04-2020,37992082,6830,774,314
17-04-2020,37991625,7177,866,332
18-04-2020,37991291,7381,981,347
19-04-2020,37990776,7824,1040,360
20-04-2020,37990470,8017,1133,380
21-04-2020,37990207,8096,1297,400
22-04-2020,37989894,8168,1513,425
23-04-2020,37989552,8255,1740,453
24-04-2020,37989171,8392,1944,493
25-04-2020,37988790,8561,2126,523
26-04-2020,37988446,8754,2265,535
27-04-2020,37988161,8812,2466,561
28-04-2020,37987845,8905,2655,595
29-04-2020,37987423,8929,3025,623
30-04-2020,37987123,8998,3236,643
01-05-2020,37986895,8964,3491,650
02-05-2020,37986625,8951,3762,662
03-05-2020,37986307,9071,3945,677
04-05-2020,37985994,9215,4095,696
05-05-2020,37985588,9417,4280,715
06-05-2020,37985277,9335,4655,733
07-05-2020,37984974,9409,4862,755
08-05-2020,37984637,9404,5184,775
09-05-2020,37984349,9430,5437,784
10-05-2020,37984004,9499,5698,799
11-05-2020,37983674,9700,5816,810
12-05-2020,37983118,9913,6131,838
13-05-2020,37982796,9933,6410,861
14-05-2020,37982385,10036,6696,883
15-05-2020,37981984,10191,6918,907
16-05-2020,37981743,10167,7175,915
17-05-2020,37981471,10153,7451,925
18-05-2020,37981115,10321,7628,936
19-05-2020,37980733,10416,7903,948
20-05-2020,37980262,10593,8183,962
21-05-2020,37979859,10717,8452,972
22-05-2020,37979388,10899,8731,982
23-05-2020,37979073,10957,8977,993
24-05-2020,37978712,11098,9194,996
25-05-2020,37978371,11346,9276,1007
26-05-2020,37977928,11028,10020,1024
27-05-2020,37977531,11111,10330,1028
28-05-2020,37977179,11223,10560,1038
29-05-2020,37976847,11410,10692,1051
30-05-2020,37976435,11488,11016,1061
31-05-2020,37976216,11449,11271,1064
01-06-2020,37975841,11636,11449,1074
02-06-2020,37975605,11577,11726,1092
03-06-2020,37975313,11558,12014,1115
04-06-2020,37974952,11704,12227,1117
05-06-2020,37974590,11863,12410,1137
06-06-2020,37974014,12194,12641,1151
07-06-2020,37973439,12551,12855,1155
08-06-2020,37972840,12998,12998,1164
09-06-2020,37972440,13181,13196,1183
10-06-2020,37972158,13225,13411,1206
11-06-2020,37971799,13290,13696,1215
12-06-2020,37971423,13550,13805,1222
13-06-2020,37970983,13676,14104,1237
14-06-2020,37970608,13919,14226,1247
15-06-2020,37970212,14149,14383,1256
16-06-2020,37969805,14269,14654,1272
17-06-2020,37969355,14438,14921,1286
18-06-2020,37969041,14326,15317,1316
19-06-2020,37968689,14279,15698,1334
20-06-2020,37968380,14093,16181,1346
21-06-2020,37968069,13892,16683,1356
22-06-2020,37967773,13792,17076,1359
23-06-2020,37967473,13579,17573,1375
24-06-2020,37967179,13291,18134,1396
25-06-2020,37966890,13044,18654,1412
26-06-2020,37966605,12748,19218,1429
27-06-2020,37966286,12307,19972,1435
28-06-2020,37966093,11920,20548,1439
29-06-2020,37965846,11812,20897,1445
30-06-2020,37965607,11648,21281,1464
01-07-2020,37965225,11506,21791,1478
02-07-2020,37964854,11444,22209,1493
03-07-2020,37964595,11247,22651,1507
04-07-2020,37964281,11081,23127,1511
05-07-2020,37964050,10688,23746,1516
06-07-2020,37963845,10669,23966,1520
07-07-2020,37963588,10647,24238,1527
08-07-2020,37963311,10269,24878,1542
09-07-2020,37963049,9923,25477,1551
10-07-2020,37962784,9606,26048,1562
11-07-2020,37962479,9318,26635,1568
12-07-2020,37962109,9172,27148,1571
13-07-2020,37961810,9099,27515,1576
14-07-2020,37961543,9113,27756,1588
15-07-2020,37961279,8635,28492,1594
16-07-2020,37960946,8522,28928,1604
17-07-2020,37960593,8291,29505,1611
18-07-2020,37960254,8205,29924,1617
19-07-2020,37959896,8189,30292,1623
20-07-2020,37959617,8217,30539,1627
21-07-2020,37959218,8375,30771,1636
22-07-2020,37958838,8381,31139,1642
23-07-2020,37958420,8388,31541,1651
24-07-2020,37957962,8386,31997,1655
25-07-2020,37957378,8539,32419,1664
26-07-2020,37956935,8641,32753,1671
27-07-2020,37956598,8870,32856,1676
28-07-2020,37956096,9179,33043,1682
29-07-2020,37955584,9532,33190,1694
30-07-2020,37954969,9679,33643,1709
31-07-2020,37954312,9985,33987,1716
01-08-2020,37953654,10251,34374,1721
02-08-2020,37953106,10454,34709,1731
03-08-2020,37952531,10856,34881,1732
04-08-2020,37951851,11355,35056,1738
05-08-2020,37951211,11712,35321,1756
06-08-2020,37950485,12099,35642,1774
07-08-2020,37949676,12496,36041,1787
08-08-2020,37948833,12964,36403,1800
09-08-2020,37948209,13293,36691,1807
10-08-2020,37947590,13724,36877,1809
11-08-2020,37947039,13990,37150,1821
12-08-2020,37946324,14235,37611,1830
13-08-2020,37945513,14683,37961,1843
14-08-2020,37944681,15099,38362,1858
15-08-2020,37943910,15368,38853,1869
16-08-2020,37943316,15677,39130,1877
17-08-2020,37942721,16035,39359,1885
18-08-2020,37942124,16337,39643,1896
19-08-2020,37941389,16599,40099,1913
20-08-2020,37940622,16972,40481,1925
21-08-2020,37939719,17314,41029,1938
22-08-2020,37938819,17569,41661,1951
23-08-2020,37938238,17624,42183,1955
24-08-2020,37937690,17902,42448,1960
25-08-2020,37936927,18312,42784,1977
26-08-2020,37936198,18409,43399,1994
27-08-2020,37935311,18583,44097,2009
28-08-2020,37934520,18677,44785,2018
29-08-2020,37933761,18671,45536,2032
30-08-2020,37933130,18645,46192,2033
31-08-2020,37932628,18695,46638,2039
01-09-2020,37932078,18834,47030,2058
02-09-2020,37931483,18574,47865,2078
03-09-2020,37930871,18444,48593,2092
04-09-2020,37930180,17900,49820,2100
05-09-2020,37929613,15928,52346,2113
06-09-2020,37929176,14448,54256,2120
07-09-2020,37928874,13890,55113,2123
08-09-2020,37928474,13481,55910,2135
09-09-2020,37928053,12666,57135,2146
10-09-2020,37927547,12226,58069,2158
11-09-2020,37926953,12031,58848,2168
12-09-2020,37926350,11744,59725,2181
13-09-2020,37925848,11306,60659,2187
14-09-2020,37925471,11230,61097,2202
15-09-2020,37924866,11360,61548,2226
16-09-2020,37924266,11388,62110,2236
17-09-2020,37923429,11594,62725,2252
18-09-2020,37922672,11747,63312,2269
19-09-2020,37921670,12188,63861,2281
20-09-2020,37920760,12646,64302,2292
21-09-2020,37920012,13087,64604,2297
22-09-2020,37919301,13412,64972,2315
23-09-2020,37918327,13769,65561,2343
24-09-2020,37917191,14283,66158,2368
25-09-2020,37915604,15265,66740,2391
26-09-2020,37914020,16231,67326,2423
27-09-2020,37912670,16995,67904,2431
28-09-2020,37911364,17770,68420,2446
29-09-2020,37910038,18525,68955,2482
30-09-2020,37908486,19307,69695,2512
01-10-2020,37906519,20538,70401,2542
02-10-2020,37904227,21851,71353,2569
03-10-2020,37901860,23328,72209,2603
04-10-2020,37899926,24442,73003,2629
05-10-2020,37897920,25870,73552,2658
06-10-2020,37895684,27442,74158,2716
07-10-2020,37892681,29182,75346,2791
08-10-2020,37888401,32242,76490,2867
09-10-2020,37883662,35544,77875,2919
10-10-2020,37878362,39684,78982,2972
11-10-2020,37874184,42511,80302,3003
12-10-2020,37869790,45971,81201,3038
13-10-2020,37864722,50173,82004,3101
14-10-2020,37858196,54740,83847,3217
15-10-2020,37850097,61007,85588,3308
16-10-2020,37842392,66395,87773,3440
17-10-2020,37832770,73544,90162,3524
18-10-2020,37824234,79542,92651,3573
19-10-2020,37816752,85620,94014,3614
20-10-2020,37807461,92862,95956,3721
21-10-2020,37797421,99844,98884,3851
22-10-2020,37785314,108463,102204,4019
23-10-2020,37771682,119054,105092,4172
24-10-2020,37758054,128252,109344,4350
25-10-2020,37746312,136632,112619,4437
26-10-2020,37736071,144145,115302,4482
27-10-2020,37719771,156378,119237,4614
28-10-2020,37700951,170697,123504,4848
29-10-2020,37680795,184789,129267,5149
30-10-2020,37659166,200759,134724,5351
31-10-2020,37637269,216820,140280,5631
01-11-2020,37620098,227524,146595,5783
02-11-2020,37604520,235192,154413,5875
03-11-2020,37585156,248756,159986,6102
04-11-2020,37560464,264102,168960,6474
05-11-2020,37533321,282157,177681,6841
06-11-2020,37506235,297804,188675,7286
07-11-2020,37478360,313495,200510,7635
08-11-2020,37453575,329191,209363,7871
09-11-2020,37431862,340723,219371,8044
10-11-2020,37406408,354557,230661,8374
11-11-2020,37381187,367135,242875,8803
12-11-2020,37358504,378069,254349,9078
13-11-2020,37334453,388470,267580,9497
14-11-2020,37308882,398858,282215,10045
15-11-2020,37287028,407841,294783,10348
16-11-2020,37266212,417275,306022,10491
17-11-2020,37247060,417810,324282,10848
18-11-2020,37227177,418489,342883,11451
19-11-2020,37203202,422824,361886,12088
20-11-2020,37180738,424748,381800,12714
21-11-2020,37156525,423112,407075,13288
22-11-2020,37138058,424353,423971,13618
23-11-2020,37123667,423691,438868,13774
24-11-2020,37113528,417441,454717,14314
25-11-2020,37075572,439913,469527,14988
26-11-2020,37058885,430678,494869,15568
27-11-2020,37041825,425392,516636,16147
28-11-2020,37026647,418334,538273,16746
29-11-2020,37015164,408378,559429,17029
30-11-2020,37009431,395905,577514,17150
01-12-2020,37000326,384486,597589,17599
02-12-2020,36986471,372341,622980,18208
03-12-2020,36971633,362979,646560,18828
04-12-2020,36958394,355834,666413,19359
05-12-2020,36945964,346265,687910,19861
06-12-2020,36936788,336403,706720,20089
07-12-2020,36932365,325008,722446,20181
08-12-2020,36924053,316510,738845,20592
09-12-2020,36911885,298714,768241,21160
10-12-2020,36898136,288115,792119,21630
11-12-2020,36885026,277444,815356,22174
12-12-2020,36873529,263254,840541,22676
13-12-2020,36864552,253689,858895,22864
14-12-2020,36859656,248229,869155,22960
15-12-2020,36852749,244194,879748,23309
16-12-2020,36840295,243141,892650,23914
17-12-2020,36828342,243964,903349,24345
18-12-2020,36817329,242324,915576,24771
19-12-2020,36806062,240961,927723,25254
20-12-2020,36797468,238866,938269,25397
21-12-2020,36792835,235674,946017,25474
22-12-2020,36785643,234302,954272,25783
23-12-2020,36773282,235285,965178,26255
24-12-2020,36760167,237205,975876,26752
25-12-2020,36751090,237235,984683,26992
26-12-2020,36746042,234516,992381,27061
27-12-2020,36742364,230908,999610,27118
28-12-2020,36739153,228324,1005376,27147
29-12-2020,36731239,227302,1014005,27454
30-12-2020,36718284,227808,1025889,28019
31-12-2020,36704887,230424,1036138,28551
01-01-2021,36693879,230889,1046281,28951
02-01-2021,36686934,228577,1055436,29053
03-01-2021,36681195,226598,1063093,29114
04-01-2021,36676763,224527,1069554,29156
05-01-2021,36669139,222472,1078892,29497
06-01-2021,36654988,227218,1087744,30050
07-01-2021,36642934,231214,1095616,30236
08-01-2021,36634144,230689,1104599,30568
09-01-2021,36623596,231660,1113738,31006
10-01-2021,36614186,231313,1123318,31183
11-01-2021,36609564,228718,1130460,31258
12-01-2021,36603995,226295,1138126,31584
13-01-2021,36594942,225870,1147123,32065
14-01-2021,36585506,226225,1155823,32446
15-01-2021,36577711,224807,1164650,32832
16-01-2021,36570299,223413,1173087,33201
17-01-2021,36564244,221087,1181326,33343
18-01-2021,36560973,217913,1187719,33395
19-01-2021,36556138,213142,1197034,33686
20-01-2021,36549219,209293,1207359,34129
21-01-2021,36542067,207653,1215732,34548
22-01-2021,36535427,216667,1213012,34894
23-01-2021,36529105,212873,1222782,35240
24-01-2021,36524422,209782,1230446,35350
25-01-2021,36522003,204873,1237736,35388
26-01-2021,36517399,203374,1243575,35652
27-01-2021,36510610,207082,1246267,36041
28-01-2021,36503454,209224,1250892,36430
29-01-2021,36497310,208572,1257352,36766
