date,dI
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,1.0
2020-03-08,1.0
2020-03-09,2.0
2020-03-10,2.0
2020-03-11,3.0
2020-03-12,4.0
2020-03-13,7.0
2020-03-14,9.0
2020-03-15,14.0
2020-03-16,16.0
2020-03-17,23.0
2020-03-18,31.0
2020-03-19,37.0
2020-03-20,44.0
2020-03-21,51.0
2020-03-22,62.0
2020-03-23,73.0
2020-03-24,82.0
2020-03-25,95.0
2020-03-26,109.0
2020-03-27,124.0
2020-03-28,138.0
2020-03-29,157.0
2020-03-30,175.0
2020-03-31,187.0
2020-04-01,201.0
2020-04-02,215.0
2020-04-03,246.0
2020-04-04,285.0
2020-04-05,284.0
2020-04-06,320.0
2020-04-07,337.0
2020-04-08,362.0
2020-04-09,379.0
2020-04-10,376.0
2020-04-11,367.0
2020-04-12,390.0
2020-04-13,367.0
2020-04-14,360.0
2020-04-15,336.0
2020-04-16,340.0
2020-04-17,335.0
2020-04-18,346.0
2020-04-19,341.0
2020-04-20,373.0
2020-04-21,380.0
2020-04-22,379.0
2020-04-23,370.0
2020-04-24,370.0
2020-04-25,359.0
2020-04-26,362.0
2020-04-27,333.0
2020-04-28,330.0
2020-04-29,337.0
2020-04-30,353.0
2020-05-01,338.0
2020-05-02,316.0
2020-05-03,300.0
2020-05-04,297.0
2020-05-05,301.0
2020-05-06,316.0
2020-05-07,300.0
2020-05-08,310.0
2020-05-09,323.0
2020-05-10,325.0
2020-05-11,329.0
2020-05-12,331.0
2020-05-13,356.0
2020-05-14,352.0
2020-05-15,367.0
2020-05-16,379.0
2020-05-17,372.0
2020-05-18,362.0
2020-05-19,366.0
2020-05-20,335.0
2020-05-21,362.0
2020-05-22,361.0
2020-05-23,372.0
2020-05-24,382.0
2020-05-25,400.0
2020-05-26,392.0
2020-05-27,401.0
2020-05-28,391.0
2020-05-29,383.0
2020-05-30,362.0
2020-05-31,377.0
2020-06-01,351.0
2020-06-02,362.0
2020-06-03,332.0
2020-06-04,316.0
2020-06-05,318.0
2020-06-06,323.0
2020-06-07,345.0
2020-06-08,396.0
2020-06-09,428.0
2020-06-10,452.0
2020-06-11,439.0
2020-06-12,450.0
2020-06-13,451.0
2020-06-14,433.0
2020-06-15,404.0
2020-06-16,375.0
2020-06-17,376.0
2020-06-18,421.0
2020-06-19,402.0
2020-06-20,391.0
2020-06-21,372.0
2020-06-22,363.0
2020-06-23,348.0
2020-06-24,333.0
2020-06-25,303.0
2020-06-26,301.0
2020-06-27,297.0
2020-06-28,299.0
2020-06-29,282.0
2020-06-30,275.0
2020-07-01,267.0
2020-07-02,279.0
2020-07-03,290.0
2020-07-04,287.0
2020-07-05,286.0
2020-07-06,292.0
2020-07-07,286.0
2020-07-08,288.0
2020-07-09,273.0
2020-07-10,258.0
2020-07-11,259.0
2020-07-12,257.0
2020-07-13,277.0
2020-07-14,291.0
2020-07-15,292.0
2020-07-16,299.0
2020-07-17,300.0
2020-07-18,313.0
2020-07-19,318.0
2020-07-20,316.0
2020-07-21,313.0
2020-07-22,332.0
2020-07-23,340.0
2020-07-24,361.0
2020-07-25,376.0
2020-07-26,411.0
2020-07-27,423.0
2020-07-28,431.0
2020-07-29,446.0
2020-07-30,465.0
2020-07-31,493.0
2020-08-01,521.0
2020-08-02,532.0
2020-08-03,547.0
2020-08-04,581.0
2020-08-05,606.0
2020-08-06,625.0
2020-08-07,641.0
2020-08-08,662.0
2020-08-09,689.0
2020-08-10,700.0
2020-08-11,706.0
2020-08-12,687.0
2020-08-13,698.0
2020-08-14,710.0
2020-08-15,714.0
2020-08-16,703.0
2020-08-17,699.0
