,date,dI
1,2020-01-04,0
2,2020-01-05,0
3,2020-01-06,0
4,2020-01-07,0
5,2020-01-08,0
6,2020-01-09,0
7,2020-01-10,0
8,2020-01-11,0
9,2020-01-12,0
10,2020-01-13,0
11,2020-01-14,0
12,2020-01-15,0
13,2020-01-16,0
14,2020-01-17,0
15,2020-01-18,0
16,2020-01-19,0
17,2020-01-20,0
18,2020-01-21,0
19,2020-01-22,0
20,2020-01-23,0
21,2020-01-24,0
22,2020-01-25,0
23,2020-01-26,0
24,2020-01-27,0
25,2020-01-28,0
26,2020-01-29,0
27,2020-01-30,0
28,2020-01-31,0
29,2020-02-01,0
30,2020-02-02,0
31,2020-02-03,0
32,2020-02-04,0
33,2020-02-05,0
34,2020-02-06,0
35,2020-02-07,0
36,2020-02-08,0
37,2020-02-09,0
38,2020-02-10,0
39,2020-02-11,0
40,2020-02-12,0
41,2020-02-13,0
42,2020-02-14,0
43,2020-02-15,0
44,2020-02-16,0
45,2020-02-17,0
46,2020-02-18,0
47,2020-02-19,0
48,2020-02-20,0
49,2020-02-21,0
50,2020-02-22,0
51,2020-02-23,0
52,2020-02-24,0
53,2020-02-25,0
54,2020-02-26,0
55,2020-02-27,0
56,2020-02-28,0
57,2020-02-29,0
58,2020-03-01,0
59,2020-03-02,0
60,2020-03-03,0
61,2020-03-04,1
62,2020-03-05,0
63,2020-03-06,0
64,2020-03-07,4
65,2020-03-08,1
66,2020-03-09,5
67,2020-03-10,6
68,2020-03-11,5
69,2020-03-12,9
70,2020-03-13,18
71,2020-03-14,19
72,2020-03-15,36
73,2020-03-16,21
74,2020-03-17,52
75,2020-03-18,61
76,2020-03-19,49
77,2020-03-20,68
78,2020-03-21,70
79,2020-03-22,111
80,2020-03-23,98
81,2020-03-24,115
82,2020-03-25,152
83,2020-03-26,150
84,2020-03-27,170
85,2020-03-28,168
86,2020-03-29,249
87,2020-03-30,224
88,2020-03-31,193
89,2020-04-01,256
90,2020-04-02,243
91,2020-04-03,392
92,2020-04-04,437
93,2020-04-05,244
